Using specified device: cuda:0
[AGCRN] 参数量: 38,199

>>> Run 1/3  [AGCRN]  开始训练...
| epoch  27 | 143.5s | loss 0.1028 | mae 0.0983 | rmse 0.5254 | da 0.5067 | tda 0.5043 | ic 0.0075 | icir 0.1619
| epoch  28 | 145.4s | loss 0.1020 | mae 0.1016 | rmse 0.5381 | da 0.5081 | tda 0.5069 | ic 0.0035 | icir 0.0638
| epoch  29 | 144.1s | loss 0.1005 | mae 0.0982 | rmse 0.5289 | da 0.5085 | tda 0.5057 | ic 0.0038 | icir 0.0708
| epoch  30 | 143.4s | loss 0.1000 | mae 0.1019 | rmse 0.5399 | da 0.5073 | tda 0.5069 | ic 0.0018 | icir 0.0302
| epoch  31 | 145.2s | loss 0.0983 | mae 0.0957 | rmse 0.5282 | da 0.5074 | tda 0.5038 | ic -0.0004 | icir -0.0078
| epoch  32 | 143.7s | loss 0.0965 | mae 0.0954 | rmse 0.5311 | da 0.5083 | tda 0.5073 | ic 0.0063 | icir 0.1081
| epoch  33 | 143.1s | loss 0.0953 | mae 0.0934 | rmse 0.5285 | da 0.5063 | tda 0.5044 | ic -0.0017 | icir -0.0286
| epoch  34 | 144.7s | loss 0.0941 | mae 0.0966 | rmse 0.5367 | da 0.5067 | tda 0.5028 | ic 0.0017 | icir 0.0309
| epoch  35 | 145.1s | loss 0.0934 | mae 0.0891 | rmse 0.5206 | da 0.5092 | tda 0.5097 | ic 0.0076 | icir 0.1602
| epoch  36 | 143.0s | loss 0.0922 | mae 0.0890 | rmse 0.5220 | da 0.5079 | tda 0.5068 | ic 0.0030 | icir 0.0488
| epoch  37 | 144.5s | loss 0.0918 | mae 0.0891 | rmse 0.5220 | da 0.5073 | tda 0.5053 | ic 0.0001 | icir 0.0017
| epoch  38 | 145.4s | loss 0.0912 | mae 0.0909 | rmse 0.5287 | da 0.5074 | tda 0.5046 | ic 0.0015 | icir 0.0224
| epoch  39 | 142.9s | loss 0.0902 | mae 0.0844 | rmse 0.5169 | da 0.5082 | tda 0.5064 | ic -0.0049 | icir -0.0957
| epoch  40 | 144.6s | loss 0.0902 | mae 0.0869 | rmse 0.5198 | da 0.5094 | tda 0.5105 | ic 0.0084 | icir 0.1784
