Using specified device: cuda:0
[TCN] 参数量: 38,017

>>> Run 1/3  [TCN]  开始训练...
| epoch   7 |  50.6s | loss 0.1022 | mae 0.0743 | rmse 0.5022 | da 0.5007 | tda 0.4987 | ic 0.0040 | icir 0.0653
| epoch   8 |  52.9s | loss 0.1006 | mae 0.0743 | rmse 0.5014 | da 0.5084 | tda 0.5118 | ic 0.0150 | icir 0.2690
| epoch   9 |  52.5s | loss 0.0991 | mae 0.0745 | rmse 0.5016 | da 0.5056 | tda 0.5071 | ic 0.0089 | icir 0.1549
| epoch  10 |  52.9s | loss 0.0979 | mae 0.0768 | rmse 0.5044 | da 0.5038 | tda 0.4985 | ic 0.0088 | icir 0.1286
| epoch  11 |  52.9s | loss 0.0961 | mae 0.0751 | rmse 0.5016 | da 0.5034 | tda 0.5052 | ic -0.0024 | icir -0.0402
| epoch  12 |  51.9s | loss 0.0965 | mae 0.0764 | rmse 0.5038 | da 0.4933 | tda 0.4935 | ic -0.0050 | icir -0.0899
| epoch  13 |  52.7s | loss 0.0958 | mae 0.0733 | rmse 0.5016 | da 0.5078 | tda 0.5035 | ic 0.0123 | icir 0.2015
| epoch  14 |  52.9s | loss 0.0952 | mae 0.0734 | rmse 0.5007 | da 0.5026 | tda 0.5022 | ic 0.0163 | icir 0.2630
| epoch  15 |  52.4s | loss 0.0945 | mae 0.0768 | rmse 0.5053 | da 0.5096 | tda 0.5119 | ic 0.0067 | icir 0.1086
| epoch  16 |  52.1s | loss 0.0946 | mae 0.0724 | rmse 0.5003 | da 0.5066 | tda 0.5050 | ic 0.0036 | icir 0.0614
| epoch  17 |  51.4s | loss 0.0938 | mae 0.0744 | rmse 0.5025 | da 0.5091 | tda 0.5085 | ic 0.0120 | icir 0.1833
| epoch  18 |  52.4s | loss 0.0933 | mae 0.0725 | rmse 0.5003 | da 0.5067 | tda 0.5043 | ic 0.0084 | icir 0.1413
| epoch  19 |  53.0s | loss 0.0935 | mae 0.0737 | rmse 0.5007 | da 0.5018 | tda 0.5038 | ic 0.0079 | icir 0.1358
| epoch  20 |  52.9s | loss 0.0933 | mae 0.0746 | rmse 0.5030 | da 0.5099 | tda 0.5091 | ic 0.0143 | icir 0.2241
| epoch  21 |  51.8s | loss 0.0931 | mae 0.0734 | rmse 0.5000 | da 0.5034 | tda 0.5037 | ic 0.0033 | icir 0.0487
| epoch  22 |  52.8s | loss 0.0930 | mae 0.0723 | rmse 0.4998 | da 0.5066 | tda 0.5079 | ic 0.0114 | icir 0.1874
| epoch  23 |  52.9s | loss 0.0927 | mae 0.0725 | rmse 0.5011 | da 0.5070 | tda 0.5068 | ic 0.0122 | icir 0.2438
