Using specified device: cuda:0
[LSTM] 参数量: 218,527

>>> Run 1/3  [LSTM]  开始训练...
| epoch   3 |  18.7s | loss 0.2580 | mae 0.2511 | rmse 1.0286 | da 0.5072 | tda 0.5048 | ic 0.0111 | icir 0.2601
| epoch   4 |  18.9s | loss 0.2254 | mae 0.2198 | rmse 0.9423 | da 0.5060 | tda 0.5032 | ic 0.0095 | icir 0.1797
| epoch   5 |  18.7s | loss 0.1933 | mae 0.1944 | rmse 0.8702 | da 0.5059 | tda 0.5032 | ic 0.0140 | icir 0.2723
| epoch   6 |  18.9s | loss 0.1753 | mae 0.1776 | rmse 0.8172 | da 0.5056 | tda 0.5045 | ic 0.0172 | icir 0.3235
| epoch   7 |  19.0s | loss 0.1640 | mae 0.1722 | rmse 0.7988 | da 0.5056 | tda 0.5036 | ic 0.0135 | icir 0.2524
| epoch   8 |  17.8s | loss 0.1566 | mae 0.1599 | rmse 0.7507 | da 0.5058 | tda 0.5038 | ic 0.0137 | icir 0.2564
| epoch   9 |  17.6s | loss 0.1502 | mae 0.1534 | rmse 0.7255 | da 0.5062 | tda 0.5044 | ic 0.0170 | icir 0.3164
| epoch  10 |  18.9s | loss 0.1447 | mae 0.1459 | rmse 0.7002 | da 0.5063 | tda 0.5048 | ic 0.0145 | icir 0.2804
| epoch  11 |  18.8s | loss 0.1399 | mae 0.1439 | rmse 0.6874 | da 0.5068 | tda 0.5052 | ic 0.0147 | icir 0.2627
| epoch  12 |  18.8s | loss 0.1361 | mae 0.1397 | rmse 0.6698 | da 0.5063 | tda 0.5057 | ic 0.0165 | icir 0.3057
| epoch  13 |  18.9s | loss 0.1325 | mae 0.1343 | rmse 0.6541 | da 0.5065 | tda 0.5057 | ic 0.0163 | icir 0.3002
| epoch  14 |  18.8s | loss 0.1294 | mae 0.1307 | rmse 0.6407 | da 0.5066 | tda 0.5044 | ic 0.0147 | icir 0.2975
| epoch  15 |  18.8s | loss 0.1265 | mae 0.1249 | rmse 0.6204 | da 0.5068 | tda 0.5048 | ic 0.0153 | icir 0.3023
| epoch  16 |  19.1s | loss 0.1247 | mae 0.1243 | rmse 0.6168 | da 0.5071 | tda 0.5039 | ic 0.0132 | icir 0.2420
| epoch  17 |  18.9s | loss 0.1219 | mae 0.1194 | rmse 0.6047 | da 0.5074 | tda 0.5053 | ic 0.0128 | icir 0.2320
| epoch  18 |  18.5s | loss 0.1201 | mae 0.1187 | rmse 0.5985 | da 0.5070 | tda 0.5058 | ic 0.0135 | icir 0.2452
| epoch  19 |  18.8s | loss 0.1180 | mae 0.1170 | rmse 0.5961 | da 0.5073 | tda 0.5047 | ic 0.0137 | icir 0.2395
| epoch  20 |  18.9s | loss 0.1163 | mae 0.1131 | rmse 0.5815 | da 0.5080 | tda 0.5053 | ic 0.0144 | icir 0.2808
| epoch  21 |  19.0s | loss 0.1145 | mae 0.1118 | rmse 0.5788 | da 0.5086 | tda 0.5064 | ic 0.0181 | icir 0.3252
| epoch  22 |  19.0s | loss 0.1126 | mae 0.1101 | rmse 0.5731 | da 0.5084 | tda 0.5067 | ic 0.0148 | icir 0.2539
| epoch  23 |  19.0s | loss 0.1117 | mae 0.1095 | rmse 0.5703 | da 0.5088 | tda 0.5066 | ic 0.0142 | icir 0.2409
| epoch  24 |  18.6s | loss 0.1101 | mae 0.1082 | rmse 0.5673 | da 0.5084 | tda 0.5065 | ic 0.0186 | icir 0.3236
